SAP è.;Název;Ulice;Mìsto;PSÈ;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402043;Vinklat Vaclav;Okruzni 234;Libice nad Cidlinou;289 07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402048;Mikina Vilem RNDr.;Gen. Svobody 243/19;Ceske Budejovice;370 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402406;RD Technologies;7, allee Jean-Jacques Rousseau - BP;Veynes;5400;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402407;Bruha Jiri;Jizerska 9;Ceske Budejovice;370 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402408;Kafonek Ales Ing.;Osvobozeni 42;Vyskov;682 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402411;LubTec s.r.o.;Opolany 4;Libice n. C.;289 07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402420;Heat Plus spol.s r.o.;Krizova 1018;Praha 5 - Smichov;150 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402436;Zoller Austria GmbH;Haydnstrasse 2;Ried / Innkreis;4910;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402056;Ostermann Ges. m.b.H.;Heid-Werkstr. 9;Stockerau;2000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402057;Novotny Ladislav;Rudolfovska 135;Ceske Budejovice;370 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402058;AGRO MERIN, s.r.o.;Zarybnik 516;Merin;594 42;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402060;Novak Jan;Marie Cibulkove 492/6;Praha 4;140 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402073;Simak Jiri;K. Stecha 1224/24;Ceske Budejovice;370 05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402077;ANECLAB s.r.o.;Dolni 2;Ceske Budejovice;370 04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402078;MORAVIAPRESS a.s.;U pony 3061;Breclav;690 02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402082;Kostka Vlastimil;Tomaskova 14;Brno;615 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402083;VDP s.r.o.;Ziskova 519;Humpolec;396 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402088;Kreisinger Vaclav - KreisA;Na vysluni 241;Zvole u Prahy;252 45;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402437;Pension-Restaurant LUX;Jiraskovo nabr. 19;Ceske Budejovice;370 04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402446;Blahova Pavla Mgr.;Hodejovicka 332;Stare Hodejovice;370 08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402449;SEAL-MART s.r.o.;Cernokostelecka 128;Praha 10;102 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402450;Otto Industrie spol s.r.o.;Letna 851/36;Kostelec nad Labem;277 13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402452;BIBUS s.r.o.;Videnska 125;Brno;639 27;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402453;Alpenländischer Kreditorenverband;Franz-Josefs-Kai 7;Salzburg;5020;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402454;General Parcel Cechy spol. s.r.o.;Zemska 211/1;Ejpovice;337 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402455;Rectus Tema s.r.o.;Podoli 688;Ledec n.S.;584 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402461;NEPOUZIVAT - Montplast spol s.r.o.;Novohradska 1660;Ceske Budejovice;370 08;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402466;Industrial Technology Systems spol;Pod Karlovarskou silnici 32;Praha 6;161 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402089;TranSoft a.s.;Vrbenska 2082;Ceske Budejovice;370 21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402090;CENTRALNI REALITNI s.r.o.;Námesti 7;Kremze;382 03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402091;KOPP nakladatelstvi;Sumavska 3;Ceske Budejovice;370 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402092;ASLAN - CZ, s.r.o.;Horni Vesce 4;Rimov;373 24;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402093;Dipl.-Ing. Hubert Barth;Carl-Zeiss-Str. 27+32;Schorndorf-Weiler;73614;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402094;Vyzbrojna pozarni ochrany, a.s.;Ohradni 1166/26;Praha 4;145 13;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402095;INTERNATIONAL TRADE a PRODUCT s.r.o;Kpt. Vajdy 3046/2;Ostrava-Zabreh;700 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402111;TRCZ s.r.o.;Prumyslova 1165;Lovosice;410 02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402116;Kontakt elektronik spol. s.r.o.;U Stromovky 28;Ceske Budejovice;370 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402118;ODBORCONSULT-D;Stetinska 360/3;Praha 8;181 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
402121;Tengl Jaroslav;Nova 1940/62;Ceske Budejovice;370 04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403406;Anatolij Gogolicyn;Litvinovice - Mokre 84;Ceske Budejovice;370 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403407;CIM Group a.s.;Michelska 3/9;Praha 4 - Michle;140 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403408;ELGAS CZ, s.r.o.;Dvorakova 325;Lanskroun;563 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403409;Ing. Frantisek Kopriva;Usilne 151;Ceske Budejovice;370 10;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403410;Josef Dvorak Zamecnictvi;Benesov n/C 354;Benesov nad Cernou;382 82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403415;Martin Hovorka;Stare Namesti 56;Rychnov nad Kneznou;516 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403416;Ing. Vladimir Gajdecka;Volgogradska 2466/12;Ostrava Zabreh;700 30;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403421;BOGNER OCEL s.r.o.;Za dalnici 511;Zebrak;267 53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403422;Verejne sluzby C. Budejovice;Dolni 1;Ceske Budejovice;372 14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403423;REGAZ s.r.o.;Ul. 26 dubna 1917;Uhersky Brod;688 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403424;Frantisek Kovarik -Truhlarsktvi;Blahoslavova 588/3;Ceske Budejovice;370 04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403427;Compar AG;Rietbrunnen 44;Pfaeffikon SZ;8808;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403811;Motorpal Autoparts, s.r.o.;Svetla 334;Svetla Hora;793 31;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403430;ABB s.r.o.;Sokolovska 84-86;Praha 8;186 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403431;Ing. Jan Hlubik - PROIN;Mlekarenska 436;Praha 9;190 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403432;Gazar spol. s.r.o.;V strani 11;Praha 5;150 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403446;JIHOSTROJ a.s.;Budejovicka 148;Velesin;382 32;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403451;THERMOPROZESS s.r.o.;U Vystaviste 30;Ceske Bucejovice;370 05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403452;BAMAS-ELEKTRO spl. s.r.o.;Cihelni 24;Kravare;747 21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403453;Havel Richard Ing.;Roty Nazdar 500;Trutnov;541 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403454;Balluff CZ s.r.o.;Peluskova 1400;Praha 9 - Kyje;198 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403455;Tyroline s.r.o.;U tovaren 1498/2g;Praha 10 - Hostivar;102 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403456;Travnicek Pavel;Nova 950;Vodnany;389 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403458;Vanek A. VELKOOBCHOD spol.s.r.o.;Okruzni 7;Ceske Budejovice;370 04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403466;Myska Petr;Zerotinova 555;Ceske Budejovice;370 04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403477;E & A s.r.o.;Zelena 184;Kosmonosy - Bradlec;293 06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403478;Vondra CAQ servis,s.r.o.;U domova duchodcu 13;Dobra Voda u Ceskych Budejovic;373 16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403479;AJP - Tech spol. s.r.o.;Hudcova 78c;Brno;612 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403480;FOSTRON a.s.;Knezskodvorska 2277/26;Ceske Budejovice;370 04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403504;MEVATEC s.r.o.;Chelcickeho 1228;Roudnice nad Labem;413 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403507;Blaha Pavel;Libin 39;Stepanovice;373 73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403512;STRATUS, spol. s.r.o.;Masna 34;Brno;602 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403110;Carl Zeiss spol. s.r.o.;Radlicka 14/3201;Praha 5;150 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403115;SLUZBA VD;Frani Sramka 2;Ceske Budejovice;370 21;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403116;Jung Jiri;Suchomelska 537/6;Ceske Budejovice;370 04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403144;Servis Fiser s.r.o.;Rudolfovska 91a;Ceske Budejovice;370 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403145;Safranek Ladislav;Nemcice 47;Netolice;384 11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403547;Repro Co., v.o.s.;Senovazne namesti 9;Ceske Budejovice;370 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
403548;ALVE spol. s r.o.;Verovice 80;Verovice;742 73;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
422545;LTH Learnica dooel;15ti Korpus br. 89;Ohrid;6000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
422490;AB COM CZECH s.r.o.;Komenskeho 242;Hradec Kralove;500 03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
422546;AS-Infodienste GmbH;Hardenbergstr. 18b;Mühlheim;45472;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
423283;DEROVANE PLECHY SVS s.r.o.;Slezska 550;Chrudim II;537 05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
423313;ISH PUMPS OLOMOUC a.s.;Hybesova 1282/16;Olomouc;779 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
423236;MODIA a.s.;Radotinska 41/14;Praha -Velka Chuchle;159 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
423465;Quehenberger Logistika d.o.o.;Letaliska cesta 16;Ljubljana;1000;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
422209;Ing. Miroslav Drazdil;Husova 21;Ceske Budejovice;370 05;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
422559;Rajmont s.r.o.;I.Olbrachta 506/6;Hradec Králové;500 02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
422714;Frantisek Bobula;Strojnicka 259;Stod;333 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
422783;SEVEN-K, s.r.o.;Pivovarska 171;Kraliky;561 69;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
3309;Microjet GmbH;Im Husarenlager 13;Karlsruhe;76187;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
421755;TODOROV nastrojarna s.r.o.;Skolni 1149;Trhove Sviny;374 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
409258;ZBYNEK KOPTIK;Cimelice 220;Cimelice;398 04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
409259;JihoTech spol. s.r.o.;Zahradni 441;Borovany;373 12;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
408236;CB MONTPLAST s.r.o.;Na Vyhlidce 12;Ceske Budejovice;373 16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
408237;AMTEK, spol. s.r.o.;Videnska 125;Brno;619 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
408238;AHLBORN, merici a regulacni technik;Dvorecka 4/359;Praha 4;140 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
408239;Kanorg spol. s.r.o.;Na Balkane 70/2075;Praha 3;130 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
408240;IVAN HRDLICKA;K. Jiriho z Podebrad 772;Strakonice;386 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
408241;SIEMENS, s.r.o.;Siemensova 1;Praha 13;155 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
408242;Komunalni technika, s.r.o.;Za Humny 1828;Brandys nad Labem;250 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
408243;Skrivanek s.r.o.;U Jordanka 265/11;Vyskov;682 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
408244;Balgsan s.r.o.;Prumyslova 862;Mlada Boleslav;293 06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
408250;Wheelabrator Group s.r.o.;Darska 516/12;Praha 9 Kyje;198 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
408251;Jan Marek;Tr. Legii 507;Kralupy nad Vltavou;278 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
409286;REO AMOS, s.r.o.;Horousanska 233;Nehvizdy;250 81;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
409287;CSAD Hodonin a.s.;Dornych 47;Brno;617 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
409288;ebm - papst CZ s.r.o.;Kratka 379;Rajhradice;664 61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
409289;Husky-KTW s.r.o.;Dolni Pena 200;Jindrichuv Hradec;377 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
409290;MICROCON, s.r.o.;Areal VU Bechovice;Praha 9;190 11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
409291;CAC LEASING a.s.;Mirove namesti 35A;Usti nad Labem;400 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
409292;EFESYS  s.r.o.;Nizkovice 74;Slavkov u Brna;684 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
409293;NETT - METAL, s.r.o.;Zebrak 9;Zebrak;267 53;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
409294;TRIO DUCHCOV s.r.o.;U Smaltovny 2;Ceske Budejovice;370 02;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
409295;Kovovyroba HAD s.r.o.;Doudleby - Stranany 28;Ceske Budejovice;370 07;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
409296;EVMS s.r.o.;5. kvetna 310;Milevsko;399 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
409297;RECALL s.r.o.;Kubatova 6;Ceske Budejovice;370 04;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
409298;Stokvis Promi Czech s.r.o.;U Trati 216;Dobroviz;252 61;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
409299;Interroll CZ, s.r.o.;G. Simka 3174;Breclav;690 03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
409439;KONTURA TOOLS s.r.o.;Dolecky I/518;Zlin-Stipa;763 14;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
409440;REMET, spol. s.r.o.;Videnska 11/127;Brno;619 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
409446;CVP Galvanika spol. s.r.o.;P.O. Box c. 2;Pribram VI - 550;261 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
409447;LESAK - ZEMAN s.r.o.;Vranovska 699/33;Brno 14;614 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
409450;Jiri Pospisil - POSP;nam. T. G. Masaryka 1280;Zlin;730 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
409451;Osvetleni Cernoch s.r.o.;V Lipach 381;Praha 9 - Kolodeje;190 16;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
409452;MEGATRON, s.r.o.;Mrstikova 16;Praha 10;191 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
409453;DHL Express (Czech Republic) s.r.o.;nam. Sv. Cecha 3, cp. 516;Ostrava-Privoz;702 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
409454;KAMEX, spol. s.r.o.;Kostelanska 2122;Stare Mesto;686 03;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
409455;PSP International s.r.o.;Krkonosska 16;Praha 2;120 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
409456;PALA, s.r.o.;Popuvky 199;Troubsko;664 41;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
409457;CSAD RADIALKA OSTRAVA s.r.o.;Rolsberska 66;Olomouc;772 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
408280;ECKOLD & VAVROUCH, spol. s.r.o.;Jilemnickeho 8;Brno;614 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
408286;AZ PROKAL s.r.o.;Srbska 116/4;Brno;612 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
408287;Ing. Jan Pucegl;Tr. 5. kvetna 317 Vcelna;Borsov n. Vltavou;373 82;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
408288;SERVIS VAH;I. Olbrachta 3;Ceske Budejovice;370 06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
408289;AGROM - KJ, s.r.o.;Vrato 30/2;Ceske Budejovice;370 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
408290;Cistici stroje, s.r.o.;Litvinovice 319;Ceske Budejovice;370 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
408291;PIKRON s.r.o.;Prazska 46A;Usti nad Labem;400 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
408305;Benak Antonin;Cerneves 24;Vodnany;389 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
408325;Jan Carda, C+C;Kozeluzska 388;Netolice;384 11;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
408326;Jan Novak;Dobiasova 89/40;Liberec 6;460 06;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
408327;Jaroslav Zak;Ciolkovskeho 858/8;Praha 6;161 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
408356;LPL Lehnkering Projects + Logistics;Grüner Deich 1;Hamburg;20097;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
421521;Petr Langer;Cechova 672;Blatna;388 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
408396;Petr Bazant;Cernokostolecka 1493/35;Praha 10;100 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
408397;Miroslav Srotyr HENI CZ;Hogerova 815;Praha 5;152 00;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
408398;AXI MONT, spol s r.o.;Neurazy 152;Neurazy;335 55;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
408399;Bohdan Bolzano s.r.o.;Hutska 1379;Kladno;272 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
408400;Strojplast, a.s.;Oldrichovska 1437;Tachov;347 01;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
